Entry Type,Parent Allergy (English),English,French,Spanish,German,Italian,Portuguese,Dutch,Polish
Synonym,Modified starches (E1404-E1452),E1404,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1404,,,,,,,
Synonym,Modified starches (E1404-E1452),E1410,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1410,,,,,,,
Synonym,Modified starches (E1404-E1452),E1412,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1412,,,,,,,
Synonym,Modified starches (E1404-E1452),E1413,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1413,,,,,,,
Synonym,Modified starches (E1404-E1452),E1414,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1414,,,,,,,
Synonym,Modified starches (E1404-E1452),E1420,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1420,,,,,,,
Synonym,Modified starches (E1404-E1452),E1422,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1422,,,,,,,
Synonym,Modified starches (E1404-E1452),E1440,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1440,,,,,,,
Synonym,Modified starches (E1404-E1452),E1442,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1442,,,,,,,
Synonym,Modified starches (E1404-E1452),E1450,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1450,,,,,,,
Synonym,Modified starches (E1404-E1452),E1451,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1451,,,,,,,
Synonym,Modified starches (E1404-E1452),E1452,,,,,,,
Synonym,Modified starches (E1404-E1452),E 1452,,,,,,,
Allergy,Guar gum (E412),Guar gum (E412),,,,,,,
Synonym,Guar gum (E412),guar,,,,,,,
Synonym,Guar gum (E412),guar gum,,,,,,,
Synonym,Guar gum (E412),E412,,,,,,,
Synonym,Guar gum (E412),E 412,,,,,,,
Allergy,Locust bean gum (E410),Locust bean gum (E410),,,,,,,
Synonym,Locust bean gum (E410),carob gum,,,,,,,
Synonym,Locust bean gum (E410),locust bean gum,,,,,,,
Synonym,Locust bean gum (E410),E410,,,,,,,
Synonym,Locust bean gum (E410),E 410,,,,,,,
Allergy,Acacia gum (E414),Acacia gum (E414),,,,,,,
Synonym,Acacia gum (E414),acacia,,,,,,,
Synonym,Acacia gum (E414),gum arabic,,,,,,,
Synonym,Acacia gum (E414),acacia gum,,,,,,,
Synonym,Acacia gum (E414),E414,,,,,,,
Synonym,Acacia gum (E414),E 414,,,,,,,
Allergy,Carrageenan (E407),Carrageenan (E407),,,,,,,
Synonym,Carrageenan (E407),carrageenan,,,,,,,
Synonym,Carrageenan (E407),carrageenin,,,,,,,
Synonym,Carrageenan (E407),E407,,,,,,,
Synonym,Carrageenan (E407),E 407,,,,,,,
Allergy,Lysozyme (E1105),Lysozyme (E1105),,,,,,,
Synonym,Lysozyme (E1105),lysozyme,,,,,,,
Synonym,Lysozyme (E1105),egg lysozyme,,,,,,,
Synonym,Lysozyme (E1105),E1105,,,,,,,
Synonym,Lysozyme (E1105),E 1105,,,,,,,
